rank,ticker,asof,close,p_target,p_stop,p_neither,exp_R_hat,score,stop,target,risk_pct,primary_setup,decision
1,ANDV,2018-02-07,100.62,0.2945,0.2559,0.4496,0.9341,0.9341,97.5331,106.7937,0.0307,True,TRADE
2,D,2018-02-07,73.76,0.423,0.2307,0.3463,0.9202,0.9202,72.409,76.462,0.0183,True,TRADE
3,COL,2018-02-07,135.4,0.5007,0.2851,0.2142,0.8318,0.8318,133.9789,138.2421,0.0105,True,TRADE
4,AMAT,2018-02-07,48.69,0.1869,0.2028,0.6104,0.8247,0.8247,46.7409,52.5882,0.04,True,TRADE
5,KIM,2018-02-07,14.52,0.428,0.2871,0.2849,0.8179,0.8179,14.0992,15.3616,0.029,True,TRADE
6,AEE,2018-02-07,53.19,0.6191,0.1912,0.1897,0.777,0.777,52.1712,55.2277,0.0192,True,TRADE
7,HCN,2018-02-07,56.55,0.3962,0.2896,0.3142,0.6721,0.6721,55.1734,59.3033,0.0243,True,TRADE
8,FTI,2018-02-07,30.48,0.2843,0.3193,0.3963,0.6616,0.6616,29.5147,32.4106,0.0317,True,TRADE
9,ADI,2018-02-07,85.35,0.1836,0.2811,0.5353,0.6575,0.6575,82.9049,90.2402,0.0286,True,TRADE
10,AES,2018-02-07,10.48,0.1695,0.1987,0.6317,0.6556,0.6556,10.1573,11.1254,0.0308,True,TRADE
11,FBHS,2018-02-07,63.4,0.267,0.3604,0.3727,0.6332,0.6332,61.7992,66.6015,0.0252,True,TRADE
12,HCP,2018-02-07,23.38,0.3887,0.3558,0.2555,0.6243,0.6243,22.8446,24.4508,0.0229,True,TRADE
13,IRM,2018-02-07,33.18,0.245,0.3046,0.4504,0.6226,0.6226,32.2742,34.9917,0.0273,True,TRADE
14,HES,2018-02-07,44.11,0.1597,0.1869,0.6534,0.6074,0.6074,42.3092,47.7116,0.0408,True,TRADE
15,EXPE,2018-02-07,129.33,0.3344,0.3668,0.2987,0.5919,0.5919,126.2071,135.5758,0.0241,True,TRADE
16,INCY,2018-02-07,86.34,0.3307,0.2889,0.3803,0.5432,0.5432,83.5699,91.8803,0.0321,True,TRADE
17,IR,2018-02-07,91.19,0.1939,0.3491,0.4571,0.5423,0.5423,88.9301,95.7098,0.0248,True,TRADE
18,AAPL,2018-02-07,159.54,0.246,0.3685,0.3854,0.5316,0.5316,155.7368,167.1463,0.0238,True,TRADE
19,CSX,2018-02-07,52.97,0.1601,0.2587,0.5813,0.5312,0.5312,51.4303,56.0495,0.0291,True,TRADE
20,ADS,2018-02-07,246.75,0.2358,0.2296,0.5346,0.5222,0.5222,240.0139,260.2222,0.0273,True,TRADE
21,AXP,2018-02-07,93.61,0.1404,0.3027,0.557,0.5156,0.5156,91.4421,97.9457,0.0232,True,TRADE
22,HBI,2018-02-07,21.96,0.2713,0.3636,0.3651,0.512,0.512,21.3029,23.2742,0.0299,True,TRADE
23,AAL,2018-02-07,51.4,0.1291,0.2601,0.6108,0.5099,0.5099,49.7933,54.6133,0.0313,True,TRADE
24,DIS,2018-02-07,104.76,0.2263,0.374,0.3997,0.4671,0.4671,102.4484,109.3832,0.0221,True,TRADE
25,FL,2018-02-07,48.01,0.2966,0.3496,0.3538,0.4638,0.4638,46.2016,51.6268,0.0377,True,TRADE
26,FCX,2018-02-07,17.86,0.2161,0.2304,0.5536,0.4632,0.4632,17.0837,19.4126,0.0435,True,TRADE
27,JWN,2018-02-07,49.3,0.1647,0.401,0.4343,0.4485,0.4485,47.651,52.5979,0.0334,True,TRADE
28,AAP,2018-02-07,109.93,0.3618,0.3278,0.3104,0.4288,0.4288,106.3647,117.0606,0.0324,True,TRADE
29,FISV,2018-02-07,129.17,0.2368,0.4983,0.2649,0.3866,0.3866,126.6139,134.2823,0.0198,True,TRADE
30,IDXX,2018-02-07,176.83,0.1202,0.3793,0.5005,0.3639,0.3639,172.218,186.054,0.0261,True,TRADE
31,EBAY,2018-02-07,42.33,0.0745,0.1565,0.7689,0.3535,0.3535,41.0176,44.9549,0.031,True,TRADE
32,AMGN,2018-02-07,177.47,0.1688,0.3476,0.4836,0.3519,0.3519,172.1442,188.1215,0.03,True,TRADE
33,BDX,2018-02-07,221.92,0.1704,0.5034,0.3262,0.301,0.301,216.2856,233.1888,0.0254,True,TRADE
34,FIS,2018-02-07,96.77,0.2275,0.4819,0.2906,0.2495,0.2495,95.1004,100.1091,0.0173,True,TRADE
35,IPG,2018-02-07,21.3,0.1995,0.396,0.4045,0.2463,0.2463,20.7468,22.4064,0.026,True,TRADE
36,GT,2018-02-07,33.47,0.1777,0.458,0.3643,0.2308,0.2308,32.659,35.0919,0.0242,True,TRADE
37,C,2018-02-07,74.99,0.1896,0.4501,0.3603,0.1671,0.1671,73.3211,78.3279,0.0223,True,TRADE
38,ABT,2018-02-07,58.67,0.1559,0.4213,0.4228,0.1588,0.1588,57.3995,61.2109,0.0217,True,TRADE
39,CSCO,2018-02-07,40.34,0.1392,0.442,0.4188,0.1416,0.1416,39.3144,42.3912,0.0254,True,TRADE
40,BRK.B,2018-02-07,200.37,0.1316,0.421,0.4474,0.1033,0.1033,195.9717,209.1666,0.022,True,TRADE
